"Clé de ticket","Résumé","Création","Durée(mn)"
"OBCS-2421","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","2.42"
"OBCS-2422","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","2.56"
"OBCS-2423","Autres - Explication en ligne - Comptable","19/juin/24 10:03","3.48"
"OBCS-2424","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","21.46"
"OBCS-2425","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","7.19"
"OBCS-2426","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 10:03","2"
"OBCS-2427","Assistance - Explication en ligne - Comptable","19/juin/24 10:03","4.57"
"OBCS-2435","Relance sur Requête en cours - Redirection vers ressources OBC - Directeur des Ressources Humaines","19/juin/24 10:34","10"
"OBCS-2471","Autres - Explication en ligne - Comptable","19/juin/24 10:34","1.5"
"OBCS-2479","Assistance - Explication en ligne - Assistant(e) RH","19/juin/24 10:34","2.45"
"OBCS-2492","Assistance - Redirection vers ressources OBC - Comptable","19/juin/24 10:34","1.14"
"OBCS-2493","Assistance - Explication en ligne - Comptable","19/juin/24 10:34","1.5"
"OBCS-2499","Assistance - Explication en ligne - Comptable","19/juin/24 10:35","60"
"OBCS-2516","Assistance - Séance Google Meet/Zoom - Assistant(e) RH","19/juin/24 10:35","29"
"OBCS-2517","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:35","2.14"
"OBCS-2518","Présentation - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:35","1"
"OBCS-2519","Autres - Revue des Accès/Workflows - Assistant(e) / Stagiaire","19/juin/24 10:35","0.37"
"OBCS-2520","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 10:35","1.35"
"OBCS-2521","Assistance - Explication en ligne - Comptable","19/juin/24 10:35","1.34"
"OBCS-2522","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:35","2.5"
"OBCS-2535","Assistance - Mailing - Assistant(e) / Stagiaire","19/juin/24 10:35","5"
"OBCS-2536","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:35","2.3"
"OBCS-2541","Assistance - Séance Google Meet/Zoom - Comptable","19/juin/24 10:35","3"
"OBCS-2556","Assistance - Revue des Accès/Workflows - Assistant(e) / Stagiaire","19/juin/24 10:35","10.11"
"OBCS-2557","Autres - Autres (Précisez dans la description) - Comptable","19/juin/24 10:35","0.4"
"OBCS-2558","Assistance - Explication en ligne - Comptable","19/juin/24 10:35","0.4"
"OBCS-2559","Assistance - Revue des Accès/Workflows - Assistant(e) / Stagiaire","19/juin/24 10:35","1.45"
"OBCS-2575","Autres - Explication en ligne - Assistant(e) de direction","19/juin/24 10:36","2.44"
"OBCS-2576","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:36","1.12"
"OBCS-2577","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:36","1.57"
"OBCS-2578","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:36","1.19"
"OBCS-2579","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:36","1.2"
"OBCS-2582","Autres - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:36","3.21"
"OBCS-2583","Assistance - Explication en ligne - Comptable","19/juin/24 10:36","3.17"
"OBCS-2584","Autres - Explication en ligne - Assistant(e) de direction","19/juin/24 10:36","8.53"
"OBCS-2614","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:36","5.27"
"OBCS-2615","Assistance - Redirection vers ressources OBC - Assistant(e) de direction","19/juin/24 10:36","2.8"
"OBCS-2616","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:36","1.15"
"OBCS-2626","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:36","8.43"
"OBCS-2632","Assistance - Redirection vers ressources OBC - Comptable","19/juin/24 10:36","1.23"
"OBCS-2633","Assistance - Explication en ligne - Comptable","19/juin/24 10:36","0.3"
"OBCS-2652","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","1.39"
"OBCS-2653","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","0.32"
"OBCS-2654","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.49"
"OBCS-2655","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:37","2.1"
"OBCS-2660","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:37","2.33"
"OBCS-2661","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:37","3.29"
"OBCS-2662","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","12.31"
"OBCS-2664","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","1"
"OBCS-2665","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","0.46"
"OBCS-2666","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","1.3"
"OBCS-2667","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.14"
"OBCS-2668","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:37","1.33"
"OBCS-2685","Autres - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:37","1.58"
"OBCS-2687","Autres - Explication en ligne - Assistant(e) de direction","19/juin/24 10:37","1.31"
"OBCS-2689","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","4.59"
"OBCS-2693","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.59"
"OBCS-2694","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.44"
"OBCS-2695","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 10:37","0.55"
"OBCS-2696","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.47"
"OBCS-2697","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","10"
"OBCS-2698","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.24"
"OBCS-2699","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.51"
"OBCS-2700","Assistance - Explication en ligne - Comptable","19/juin/24 10:37","2.31"
"OBCS-2733","Assistance - Explication en ligne - Comptable","19/juin/24 10:38","3.33"
"OBCS-2742","Autres - Explication en ligne - Assistant(e) de direction","19/juin/24 10:38","1.7"
"OBCS-2760","Autres - Explication en ligne - Comptable","19/juin/24 10:38","1.26"
"OBCS-2761","Relance sur Bug en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:38","1.25"
"OBCS-2762","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:38","0.25"
"OBCS-2768","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:38","4.51"
"OBCS-2775","Assistance - Explication en ligne - Directeur Planification & Exploitation","19/juin/24 10:39","3.11"
"OBCS-2776","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:39","0.32"
"OBCS-2777","Assistance - Explication en ligne - Comptable","19/juin/24 10:39","4.42"
"OBCS-2778","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:39","1.5"
"OBCS-2807","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 10:39","1.9"
"OBCS-2808","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:39","2.22"
"OBCS-2828","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:39","1.21"
