OD,Client(s),Normalized
"OD-2426","ALL","ALL"
"OD-2425","ONPOINT","ONPOINT"
"OD-2424","EJARA","EJARA"
"OD-2423","EJARA","EJARA"
"OD-2422","SIT BTP","SIT BTP"
"OD-2421","ECORIGINE","ECORIGINE"
"OD-2420","ECORIGINE","ECORIGINE"
"OD-2419","ECORIGINE","ECORIGINE"
"OD-2418","ECORIGINE","ECORIGINE"
"OD-2416","ECORIGINE","ECORIGINE"
"OD-2414","ECORIGINE","ECORIGINE"
"OD-2412","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2411","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2410","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2409","CILAGRI","CILAGRI"
"OD-2408","ONPOINT","ONPOINT"
"OD-2407","CILAGRI","CILAGRI"
"OD-2406","CILAGRI","CILAGRI"
"OD-2405","CILAGRI","CILAGRI"
"OD-2403","ECORIGINE","ECORIGINE"
"OD-2402","ECORIGINE","ECORIGINE"
"OD-2401","ECORIGINE","ECORIGINE"
"OD-2400","ECORIGINE","ECORIGINE"
"OD-2399","CILAGRI","CILAGRI"
"OD-2398","EJARA","EJARA"
"OD-2397","KORI TRANSPORT","KORI TRANSPORT"
"OD-2396","S-TEL","S-TEL"
"OD-2395","S-TEL","S-TEL"
"OD-2394","ONPOINT","ONPOINT"
"OD-2393","FALCON","FALCON"
"OD-2392","FALCON","FALCON"
"OD-2391","CILAGRI","CILAGRI"
"OD-2390","CILAGRI","CILAGRI"
"OD-2389","CILAGRI","CILAGRI"
"OD-2388","CILAGRI","CILAGRI"
"OD-2387","SIE-TRAVAUX","SIE-TRAVAUX"
"OD-2386","ALL","ALL"
"OD-2385","ECORIGINE","ECORIGINE"
"OD-2384","ECORIGINE","ECORIGINE"
"OD-2383","ALL","ALL"
"OD-2382","ONPOINT","ONPOINT"
"OD-2381","ONPOINT","ONPOINT"
"OD-2380","ONPOINT","ONPOINT"
"OD-2379","ONPOINT","ONPOINT"
"OD-2378","ONPOINT","ONPOINT"
"OD-2376","ONPOINT","ONPOINT"
"OD-2375","ONPOINT","ONPOINT"
"OD-2374","ONPOINT","ONPOINT"
"OD-2373","ONPOINT","ONPOINT"
"OD-2372","ONPOINT","ONPOINT"
"OD-2371","ONPOINT","ONPOINT"
"OD-2370","CILAGRI","CILAGRI"
"OD-2369","ALL","ALL"
"OD-2367","ONPOINT","ONPOINT"
"OD-2366","EDIPRESSE","EDIPRESSE"
"OD-2365","ONPOINT","ONPOINT"
"OD-2364","ONPOINT","ONPOINT"
"OD-2363","CILAGRI","CILAGRI"
"OD-2362","EJARA","EJARA"
"OD-2361","CILAGRI","CILAGRI"
"OD-2360","KORI TRANSPORT","KORI TRANSPORT"
"OD-2359","TEAM SUPPORT","TEAM SUPPORT"
"OD-2358","ECORIGINE","ECORIGINE"
"OD-2357","ECORIGINE","ECORIGINE"
"OD-2356","ALL","ALL"
"OD-2355","SIS","SIS"
"OD-2354","ONPOINT","ONPOINT"
"OD-2353","ALL","ALL"
"OD-2352","ALL","ALL"
"OD-2351","KORI TRANSPORT","KORI TRANSPORT"
"OD-2350","ONPOINT","ONPOINT"
"OD-2349","ONPOINT","ONPOINT"
"OD-2348","CILAGRI","CILAGRI"
"OD-2347","ONPOINT","ONPOINT"
"OD-2346","CILAGRI","CILAGRI"
"OD-2345","ONPOINT","ONPOINT"
"OD-2344","EDIPRESSE","EDIPRESSE"
"OD-2342","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2341","ONPOINT","ONPOINT"
"OD-2340","CILAGRI","CILAGRI"
"OD-2339","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2338","ONPOINT","ONPOINT"
"OD-2337","EJARA","EJARA"
"OD-2336","CILAGRI","CILAGRI"
"OD-2335","CILAGRI","CILAGRI"
"OD-2334","ALL","ALL"
"OD-2333","ECORIGINE","ECORIGINE"
"OD-2332","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2331","2AAZ","2AAZ"
"OD-2330","CILAGRI","CILAGRI"
"OD-2329","CILAGRI","CILAGRI"
"OD-2328","ALL","ALL"
"OD-2327","ALL","ALL"
"OD-2326","ALL","ALL"
"OD-2325","ECORIGINE","ECORIGINE"
"OD-2324","ECORIGINE","ECORIGINE"
"OD-2323","ALL","ALL"
"OD-2322","ONPOINT","ONPOINT"
"OD-2321","ONPOINT","ONPOINT"
"OD-2319","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2318","ALL","ALL"
"OD-2317","CILAGRI","CILAGRI"
"OD-2316","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2315","ALL","ALL"
